nn	ん
we	ゑ
wi	ゐ
/a	∧
/o	∨
/e	∃
/u	∀
/b	⇔
/d	∈
/f	∋
/c	々
/r	ゝ
/w	ʬ
/h	←
/t	↑
/n	↓
/s	→
/g	↖
/l	↗
/m	↙
/z	↘
'	っ
-	ー
p	…
y	・
a	あ
la	ぁ
o	お
lo	ぉ
e	え
le	ぇ
u	う
lu	ぅ
i	い
li	ぃ
;	あん
l;	ぁん
q	おん
lq	ぉん
j	えん
lj	ぇん
k	うん
lk	ぅん
x	いん
lx	ぃん
f'	ぱい
f,	ぽう
f.	ぺい
fp	ぷう
fy	ぷい
fa	ぱ
fo	ぽ
fe	ぺ
fu	ぷ
fi	ぴ
f;	ぱん
fq	ぽん
fj	ぺん
fk	ぷん
fx	ぴん
ff	ぴゅう
fl	ぴょう
g'	がい
g,	ごう
g.	げい
gp	ぐう
gy	ぐい
ga	が
go	ご
ge	げ
gu	ぐ
gi	ぎ
g;	がん
gq	ごん
gj	げん
gk	ぐん
gx	ぎん
gf	ぎゅう
gl	ぎょう
c'	かい
lc'	ゕい
c,	こう
c.	けい
lc.	ゖい
cp	くう
cy	くい
ca	か
lca	ゕ
co	こ
ce	け
lce	ゖ
cu	く
ci	き
c;	かん
lc;	ゕん
cq	こん
cj	けん
lcj	ゖん
ck	くん
cx	きん
cf	きゅう
cl	きょう
r'	らい
r,	ろう
r.	れい
rp	るう
ry	るい
ra	ら
ro	ろ
re	れ
ru	る
ri	り
r;	らん
rq	ろん
rj	れん
rk	るん
rx	りん
rf	りゅう
rl	りょう
fr'	ぷぁい
fr,	ぷぉう
fr.	ぷぇい
frp	ぷぅう
fry	ぷぅい
fra	ぷぁ
fro	ぷぉ
fre	ぷぇ
fru	ぷぅ
fri	ぷぃ
fr;	ぷぁん
frq	ぷぉん
frj	ぷぇん
frk	ぷぅん
frx	ぷぃん
frf	ぷぃゅう
frl	ぷぃょう
gr'	ぐぁい
gr,	ぐぉう
gr.	ぐぇい
grp	ぐぅう
gry	ぐぅい
gra	ぐぁ
gro	ぐぉ
gre	ぐぇ
gru	ぐぅ
gri	ぐぃ
gr;	ぐぁん
grq	ぐぉん
grj	ぐぇん
grk	ぐぅん
grx	ぐぃん
